node_x,node_y,weight,year
0,654,1,2017
0,2466,1,2017
0,2469,1,2017
4,210,1,2017
4,1076,1,2017
4,1297,1,2017
4,1735,1,2017
4,2466,1,2017
6,13,1,2017
6,85,1,2017
6,193,1,2017
6,543,1,2017
6,757,1,2017
6,952,1,2017
6,987,1,2017
6,1076,1,2017
6,1209,1,2017
6,1245,1,2017
6,1247,1,2017
6,1352,1,2017
6,1420,1,2017
6,1438,2,2017
6,1542,1,2017
6,1567,1,2017
6,1588,1,2017
6,1803,1,2017
6,1811,1,2017
6,1970,1,2017
6,1987,1,2017
6,2001,1,2017
6,2205,1,2017
6,2275,2,2017
6,2466,1,2017
7,2470,1,2017
11,34,1,2017
11,397,1,2017
11,862,1,2017
11,899,1,2017
11,997,1,2017
11,1198,1,2017
11,1236,1,2017
11,1464,1,2017
11,1862,1,2017
11,2001,1,2017
11,2021,1,2017
11,2184,1,2017
11,2218,1,2017
11,2298,1,2017
11,2399,1,2017
11,2466,2,2017
12,637,2,2017
12,899,2,2017
12,2163,2,2017
12,2276,2,2017
13,6,1,2017
13,1030,1,2017
13,1076,1,2017
13,1247,2,2017
13,1298,1,2017
13,1420,1,2017
13,1860,1,2017
13,2275,1,2017
13,2466,1,2017
15,286,1,2017
15,352,1,2017
15,755,1,2017
15,756,1,2017
15,790,1,2017
15,1588,1,2017
15,1629,1,2017
15,2407,1,2017
17,40,1,2017
17,209,1,2017
17,224,1,2017
17,348,1,2017
17,834,1,2017
17,2108,1,2017
17,2249,1,2017
17,2391,1,2017
18,28,1,2017
18,87,1,2017
18,134,1,2017
18,142,1,2017
18,162,1,2017
18,230,1,2017
18,672,1,2017
18,700,4,2017
18,738,1,2017
18,755,2,2017
18,870,1,2017
18,907,1,2017
18,952,2,2017
18,954,4,2017
18,991,1,2017
18,1110,1,2017
18,1136,1,2017
18,1216,1,2017
18,1262,1,2017
18,1373,1,2017
18,1515,2,2017
18,1548,1,2017
18,1597,1,2017
18,1604,1,2017
18,1749,1,2017
18,1951,1,2017
18,1959,1,2017
18,1969,1,2017
18,1970,1,2017
18,2061,1,2017
18,2277,1,2017
18,2283,1,2017
18,2466,2,2017
18,2469,1,2017
19,102,1,2017
19,723,1,2017
19,1499,1,2017
19,1845,1,2017
19,2012,1,2017
19,2081,1,2017
21,343,1,2017
21,410,1,2017
21,609,1,2017
21,881,1,2017
21,954,1,2017
21,1135,1,2017
21,1195,1,2017
21,1311,1,2017
21,1438,1,2017
21,1454,1,2017
21,1651,1,2017
21,2012,1,2017
21,2099,1,2017
21,2185,1,2017
21,2466,1,2017
21,2469,1,2017
22,184,1,2017
22,210,1,2017
22,304,1,2017
22,755,1,2017
22,1833,1,2017
22,1889,1,2017
23,336,1,2017
23,998,1,2017
23,1295,1,2017
23,2183,1,2017
23,2323,1,2017
25,1265,1,2017
25,1690,1,2017
25,1776,1,2017
25,1967,1,2017
25,2466,1,2017
26,615,1,2017
26,628,1,2017
26,771,1,2017
26,909,1,2017
26,2015,1,2017
26,2220,1,2017
28,18,1,2017
28,34,1,2017
28,81,1,2017
28,116,1,2017
28,118,1,2017
28,142,1,2017
28,229,1,2017
28,369,1,2017
28,438,1,2017
28,477,1,2017
28,479,1,2017
28,499,1,2017
28,519,1,2017
28,543,1,2017
28,608,1,2017
28,639,1,2017
28,671,1,2017
28,700,1,2017
28,756,2,2017
28,767,1,2017
28,924,1,2017
28,933,1,2017
28,941,4,2017
28,954,1,2017
28,1045,1,2017
28,1115,1,2017
28,1130,1,2017
28,1205,1,2017
28,1235,1,2017
28,1242,1,2017
28,1260,1,2017
28,1262,2,2017
28,1368,1,2017
28,1373,1,2017
28,1454,1,2017
28,1463,1,2017
28,1479,1,2017
28,1505,1,2017
28,1562,2,2017
28,1568,2,2017
28,1578,1,2017
28,1579,1,2017
28,1679,1,2017
28,1706,1,2017
28,1707,1,2017
28,1803,1,2017
28,1804,1,2017
28,1885,1,2017
28,1904,2,2017
28,1937,2,2017
28,1963,1,2017
28,1985,1,2017
28,1987,1,2017
28,2044,1,2017
28,2139,1,2017
28,2194,1,2017
28,2203,1,2017
28,2223,1,2017
28,2430,2,2017
28,2436,1,2017
28,2444,1,2017
28,2466,3,2017
28,2469,1,2017
28,2480,1,2017
28,2483,1,2017
31,1568,1,2017
32,340,1,2017
32,772,1,2017
32,1194,1,2017
32,1597,1,2017
32,2275,1,2017
32,2386,1,2017
32,2483,1,2017
33,1407,1,2017
34,11,1,2017
34,28,1,2017
34,71,1,2017
34,82,1,2017
34,217,1,2017
34,265,1,2017
34,331,1,2017
34,364,4,2017
34,407,1,2017
34,477,1,2017
34,499,1,2017
34,518,1,2017
34,519,1,2017
34,523,2,2017
34,628,1,2017
34,646,1,2017
34,685,1,2017
34,749,1,2017
34,770,1,2017
34,896,1,2017
