node_x,node_y,counts
0,654,1
0,2466,1
0,2469,1
4,210,1
4,1076,1
4,1297,1
4,1735,1
4,2466,1
6,13,1
6,85,1
6,193,1
6,543,1
6,757,1
6,952,1
6,987,1
6,1076,1
6,1209,1
6,1245,1
6,1247,1
6,1352,1
6,1420,1
6,1438,2
6,1542,1
6,1567,1
6,1588,1
6,1803,1
6,1811,1
6,1970,1
6,1987,1
6,2001,1
6,2205,1
6,2275,2
6,2466,1
7,2470,1
11,34,1
11,397,1
11,862,1
11,899,1
11,997,1
11,1198,1
11,1236,1
11,1464,1
11,1862,1
11,2001,1
11,2021,1
11,2184,1
11,2218,1
11,2298,1
11,2399,1
11,2466,2
12,637,2
12,899,2
12,2163,2
12,2276,2
13,6,1
13,1030,1
13,1076,1
13,1247,2
13,1298,1
13,1420,1
13,1860,1
13,2275,1
13,2466,1
15,286,1
15,352,1
15,755,1
15,756,1
15,790,1
15,1588,1
15,1629,1
15,2407,1
17,40,1
17,209,1
17,224,1
17,348,1
17,834,1
17,2108,1
17,2249,1
17,2391,1
18,28,1
18,87,1
18,134,1
18,142,1
18,162,1
18,230,1
18,672,1
18,700,4
18,738,1
18,755,2
18,870,1
18,907,1
18,952,2
18,954,4
18,991,1
18,1110,1
18,1136,1
18,1216,1
18,1262,1
18,1373,1
18,1515,2
18,1548,1
18,1597,1
18,1604,1
18,1749,1
18,1951,1
18,1959,1
18,1969,1
18,1970,1
18,2061,1
18,2277,1
18,2283,1
18,2466,2
18,2469,1
19,102,1
19,723,1
19,1499,1
19,1845,1
19,2012,1
19,2081,1
21,343,1
21,410,1
21,609,1
21,881,1
21,954,1
21,1135,1
21,1195,1
21,1311,1
21,1438,1
21,1454,1
21,1651,1
21,2012,1
21,2099,1
21,2185,1
21,2466,1
21,2469,1
22,184,1
22,210,1
22,304,1
22,755,1
22,1833,1
22,1889,1
23,336,1
23,998,1
23,1295,1
23,2183,1
23,2323,1
25,1265,1
25,1690,1
25,1776,1
25,1967,1
25,2466,1
26,615,1
26,628,1
26,771,1
26,909,1
26,2015,1
26,2220,1
28,18,1
28,34,1
28,81,1
28,116,1
28,118,1
28,142,1
28,229,1
28,369,1
28,438,1
28,477,1
28,479,1
28,499,1
28,519,1
28,543,1
28,608,1
28,639,1
28,671,1
28,700,1
28,756,2
28,767,1
28,924,1
28,933,1
28,941,4
28,954,1
28,1045,1
28,1115,1
28,1130,1
28,1205,1
28,1235,1
28,1242,1
28,1260,1
28,1262,2
28,1368,1
28,1373,1
28,1454,1
28,1463,1
28,1479,1
28,1505,1
28,1562,2
28,1568,2
28,1578,1
28,1579,1
28,1679,1
28,1706,1
28,1707,1
28,1803,1
28,1804,1
28,1885,1
28,1904,2
28,1937,2
28,1963,1
28,1985,1
28,1987,1
28,2044,1
28,2139,1
28,2194,1
28,2203,1
28,2223,1
28,2430,2
28,2436,1
28,2444,1
28,2466,3
28,2469,1
28,2480,1
28,2483,1
31,1568,1
32,340,1
32,772,1
32,1194,1
32,1597,1
32,2275,1
32,2386,1
32,2483,1
33,1407,1
34,11,1
34,28,1
34,71,1
34,82,1
34,217,1
34,265,1
34,331,1
34,364,4
34,407,1
34,477,1
34,499,1
34,518,1
34,519,1
34,523,2
34,628,1
34,646,1
34,685,1
34,749,1
34,770,1
34,896,1
34,922,1
34,956,1
34,997,1
34,1009,1
34,1098,1
34,1099,1
34,1126,2
34,1205,1
34,1234,1
34,1235,1
34,1245,1
34,1273,1
34,1278,1
34,1407,1
34,1416,1
34,1464,1
34,1542,1
34,1568,1
34,1579,1
34,1635,1
34,1636,1
34,1640,1
34,1641,1
34,1725,1
34,1730,1
34,1751,1
34,1807,1
34,1862,1
34,1866,1
34,1909,1
34,1937,1
