,id_str,created_at,text_tweet,text_concept,truncated,retweet_count,type,in_reply_to_status_id_str,in_reply_to_user_id_str
0,1207806578650468352,Thu Dec 19 23:35:02 +0000 2019,These events around the world prompted important conversations about gender equality this year. #ThisHappened via @GlblCtzn https://t.co/f6sXRxM0YO,thishappened,True,53,hashtag,,
1,1207779681627447296,Thu Dec 19 21:48:10 +0000 2019,RT @wef: Women's pay equality has slipped back 50 years. What can we do? https://t.co/n5HYhgJkIf #gendergap20 @UN_Women https://t.co/28Go3Z…,,False,0,,,
2,1207778191173201920,Thu Dec 19 21:42:14 +0000 2019,Happy birthday @Alyssa_Milano!🎈 Thank you for your courageous voice and activism for women's rights. https://t.co/yC78g9kXP6,,False,191,,,
3,1207761285045260294,Thu Dec 19 20:35:04 +0000 2019,"“This is my charge to everyone:

We have to be better.
We have to love more and hate less.
Listen more and talk less.

It is our responsibility to make this world a better place.”

- @mPinoe on activism. #WomenInSport via @nytimes https://t.co/h9RqFtl2WC",womeninsport,True,88,hashtag,,
4,1207732772451889152,Thu Dec 19 18:41:46 +0000 2019,8 Posters At The CAA Protests In Delhi That Screams Resistance https://t.co/56Z3PSifWn https://t.co/uYuqA456IV,,False,7,,,
5,1207731206835576833,Thu Dec 19 18:35:32 +0000 2019,Victim Blaming In The Garb of Women Empowerment https://t.co/tRsZeqOqwM https://t.co/5CEYooXkkY,,False,6,,,
6,1207715986075467778,Thu Dec 19 17:35:04 +0000 2019,"🧥
👖
💃
👙
👷‍♀️
👗
👩‍🎤
🩱
👩‍🎓
🩲
🤸‍♀️
👚
🩳
👔
👩‍🦽
👩‍🔬
👕
👰
👘
👩‍💼
🥻
🧕
👚
👩‍🦯

What women choose to wear or not wear is not an excuse for sexual harassment, abuse, violence or bullying.

Stop victim-blaming.",,True,2447,,,
7,1207714713326510081,Thu Dec 19 17:30:00 +0000 2019,"Politics and law making institutions have always been dominated by upper-caste men. Let's acknowledge 8 MPs who overcame structural barriers and joined the #LokSabha . 

#WomenInPolitics

https://t.co/m4Z1Nar66j",loksabha,True,3,hashtag,,
8,1207714713326510081,Thu Dec 19 17:30:00 +0000 2019,"Politics and law making institutions have always been dominated by upper-caste men. Let's acknowledge 8 MPs who overcame structural barriers and joined the #LokSabha . 

#WomenInPolitics

https://t.co/m4Z1Nar66j",womeninpolitics,True,3,hashtag,,
9,1207699612359749632,Thu Dec 19 16:30:00 +0000 2019,"""Every domain of life, be it society, polity, economy, religion, etc., is a part of the feminist movement."" - @The_Silly_Wonka 

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/kySZZuwGuj",indiarejectscaa,True,7,hashtag,,
10,1207699612359749632,Thu Dec 19 16:30:00 +0000 2019,"""Every domain of life, be it society, polity, economy, religion, etc., is a part of the feminist movement."" - @The_Silly_Wonka 

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/kySZZuwGuj",indiarejectsnrc,True,7,hashtag,,
11,1207699612359749632,Thu Dec 19 16:30:00 +0000 2019,"""Every domain of life, be it society, polity, economy, religion, etc., is a part of the feminist movement."" - @The_Silly_Wonka 

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/kySZZuwGuj",policestopviolence,True,7,hashtag,,
12,1207684513486245889,Thu Dec 19 15:30:00 +0000 2019,"Workplaces are notorious grounds for explicit #sexism . @idr_online gives us a guide on making them more gender-inclusive. 

https://t.co/8buRX1OGp7",sexism,True,0,hashtag,,
13,1207670688338890754,Thu Dec 19 14:35:04 +0000 2019,"""I believe we need to work together with compassion and friendship with all genders.""

- Wasfia Nazreen, mountaineer and activist from Bangladesh. #GenerationEquality https://t.co/kUh3JJVwjg",generationequality,True,56,hashtag,,
14,1207669414050570249,Thu Dec 19 14:30:00 +0000 2019,"These tweets by celebrities against #CAA are refreshing in an otherwise silent, ignorant industry. 

@The_Silly_Wonka highlights the importance of influential people speaking up in this time of crisis.

#IndiaRejectsCAA #IndiaRejectsNRC

https://t.co/E0FA5L8aLy",caa,True,1,hashtag,,
15,1207669414050570249,Thu Dec 19 14:30:00 +0000 2019,"These tweets by celebrities against #CAA are refreshing in an otherwise silent, ignorant industry. 

@The_Silly_Wonka highlights the importance of influential people speaking up in this time of crisis.

#IndiaRejectsCAA #IndiaRejectsNRC

https://t.co/E0FA5L8aLy",indiarejectscaa,True,1,hashtag,,
16,1207669414050570249,Thu Dec 19 14:30:00 +0000 2019,"These tweets by celebrities against #CAA are refreshing in an otherwise silent, ignorant industry. 

@The_Silly_Wonka highlights the importance of influential people speaking up in this time of crisis.

#IndiaRejectsCAA #IndiaRejectsNRC

https://t.co/E0FA5L8aLy",indiarejectsnrc,True,1,hashtag,,
