tweet,index,text,pos,conf
1000007326789758987,7,poor,A,0.9889
1000007326789758987,8,area,N,0.9991
1000007326789758987,13,find,V,0.9979
1000007326789758987,17,community,N,0.9951
1000007326789758987,18,provide,V,0.9899
1000007326789758987,21,orchestra,N,0.9834
1000007326789758987,26,join,V,0.9902
1000007326789758987,29,celebrate,V,0.9871
1000007326789758987,31,power,N,0.9971
1000007326789758987,33,music,N,0.9899
1000007326789758987,36,girl,N,0.9951
1000007326789758987,37,achieve,V,0.9986
1000007326789758987,39,potential,N,0.9983
1000040999664734214,7,day,N,0.9982
1000040999664734214,9,stand,V,0.9885
1000040999664734214,14,people,N,0.9964
1000040999664734214,18,possible,A,0.9803
1000050160855117825,3,check,V,0.9751
1000050160855117825,10,equality,N,0.9961
1000050160855117825,13,empowerment,N,0.9946
1000050160855117825,15,woman,N,0.9842
1000060226614243328,0,meet,V,0.9885
1000060226614243328,5,start,V,0.9999
1000060226614243328,8,business,N,0.9991
1000060226614243328,12,independence,N,0.9841
1000060226614243328,19,resource,N,0.9992
1000082861117067264,4,make,V,0.9949
1000082861117067264,8,cent,N,0.9975
1000082861117067264,12,labour,N,0.9889
1000082861117067264,19,important,A,0.9887
1000082861117067264,29,technology,N,0.9886
1000101068875927552,4,today,N,0.9976
1000101068875927552,10,first,A,0.9944
1000101068875927552,11,time,N,0.9986
1000101068875927552,12,ever,R,0.9946
1000101068875927552,16,take,V,0.9998
1000101068875927552,18,stage,N,0.9908
1000109005044441088,3,entrepreneur,N,0.9943
1000109005044441088,5,educator,N,0.9946
1000109005044441088,9,leader,N,0.9935
1000109005044441088,15,artist,N,0.999
1000109005044441088,17,unstoppable,A,0.9986
1000109005044441088,18,activist,N,0.9992
1000109005044441088,20,unsung,A,0.9789
1000109005044441088,27,woman,N,0.9913
1000109005044441088,30,shape,V,0.9951
1000109005044441088,32,today,N,0.9991
1000143243345047552,3,sustain,V,0.9976
1000143243345047552,9,woman,N,0.9906
1000143243345047552,10,peacekeeper,N,0.9728
1000143243345047552,15,take,V,0.9998
1000143243345047552,22,action,N,0.9992
1000143243345047552,31,member,N,0.9638
1000143243345047552,32,state,N,0.9848
1000143243345047552,34,organization,N,0.9888
1000173440123498500,1,need,V,0.9986
1000173440123498500,5,gender,N,0.9879
1000173440123498500,6,gap,N,0.9877
1000173440123498500,9,operation,N,0.9924
1000173440123498500,17,approach,V,0.9908
1000173440123498500,22,find,V,0.9962
1000173440123498500,26,pivotal,A,0.9923
1000173440123498500,27,role,N,0.9877
1000211186699423744,6,sexual,A,0.9933
1000211186699423744,7,violence,N,0.9986
1000211186699423744,11,conflict,N,0.9926
1000211186699423744,15,unique,A,0.9969
1000211186699423744,16,ability,N,0.999
1000211186699423744,18,engage,V,0.9993
1000211186699423744,21,community,N,0.9989
1000211186699423744,23,serve,V,0.9964
1000211186699423744,26,represent,V,0.9974
1000211186699423744,32,see,V,0.9677
1000211186699423744,35,work,V,0.9958
1000211186699423744,37,change,V,0.9882
1000233832212246528,3,agent,N,0.9927
1000233832212246528,10,able,A,0.9684
1000233832212246528,15,achieve,V,0.9965
1000233832212246528,17,sustain,V,0.9951
1000233832212246528,23,support,V,0.9853
1000233832212246528,24,woman,N,0.9699
1000256487334318080,0,increase,V,0.9971
1000256487334318080,2,number,N,0.9989
1000256487334318080,4,woman,N,0.9803
1000256487334318080,7,operation,N,0.9874
