,tweet,text,type
10,1204199429177315329,equal,word
11,1204199429177315329,work,word
16,1204199429177315329,leader,word
19,1204199429177315329,engage,word
30,1204205766342840336,small,word
32,1204205766342840336,make,word
34,1204205766342840336,differ,word
43,1204216773651914752,educ,word
45,1204216773651914752,next,word
46,1204216773651914752,genera,word
52,1204228001673682944,want,word
54,1204228001673682944,take,word
55,1204228001673682944,action,word
58,1204228001673682944,right,word
61,1204228001673682944,need,word
66,1204228001673682944,get,word
67,1204228001673682944,start,word
69,1204228001673682944,read,word
70,1204228001673682944,mater,word
81,1204229019434180609,need,word
83,1204229019434180609,start,word
84,1204229019434180609,treat,word
86,1204229019434180609,crisis,word
89,1204229019434180609,crisis,word
94,1204229019434180609,thousand,word
96,1204229019434180609,young,word
97,1204229019434180609,people,word
98,1204229019434180609,march,word
111,1204239186120724480,lead,word
128,1204239195054600194,talk,word
136,1204239195054600194,space,word
149,1204239204621750273,do,word
150,1204239204621750273,do,word
161,1204239204621750273,want,word
162,1204239204621750273,want,word
167,1204239204621750273,be,word
168,1204239204621750273,be,word
171,1204239204621750273,rape,word
172,1204239204621750273,rape,word
191,1204241828154761216,understand,word
201,1204241828154761216,understand,word
208,1204256927586217987,do,word
210,1204256927586217987,know,word
213,1204256927586217987,film,word
218,1204256927586217987,neroli,word
222,1204256927586217987,add,word
227,1204256927586217987,list,word
230,1204273299326472192,happy,word
234,1204273299326472192,stand,word
239,1204273299326472192,young,word
240,1204273299326472192,people,word
242,1204273299326472192,take,word
243,1204273299326472192,action,word
245,1204273299326472192,make,word
247,1204273299326472192,voice,word
248,1204273299326472192,hear,word
258,1204273579942002688,resile,word
259,1204273579942002688,word,word
262,1204273579942002688,right,word
263,1204273579942002688,activist,word
265,1204273579942002688,lawyer,word
272,1204273579942002688,arrest,word
283,1204273579942002688,effort,word
285,1204273579942002688,suppress,word
287,1204273579942002688,voice,word
289,1204273579942002688,dissent,word
293,1204273579942002688,right,word
294,1204273579942002688,activist,word
297,1204273579942002688,country,word
303,1204298763126345729,make,word
306,1204298763126345729,doesn’t,word
307,1204298763126345729,turn,word
